1:	1 
2:	2818 
3:	2818 
4:	2683 2818 
5:	2818 
6:	100 
7:	100 
8:	1311 
9:	135 1379 
10:	135 
11:	135 
12:	1144 
13:	1311 1752 
14:	1311 
15:	1311 
16:	1311 2503 
17:	4041 
18:	4041 
19:	2503 
20:	1 2503 
21:	2463 2503 
22:	1311 2683 
23:	332 
24:	332 
25:	1884 
26:	1884 
27:	1311 
28:	1311 2503 
29:	2683 4041 
30:	2714 
31:	1144 2714 
32:	508 2714 
33:	1020 
34:	519 2503 
35:	519 
36:	519 1095 
37:	519 
38:	2683 
39:	2503 2683 
40:	2683 
41:	1144 1986 2683 
42:	135 1144 
43:	332 
44:	332 
45:	508 1115 1311 
46:	1311 
47:	1144 
48:	508 2683 
49:	2355 2683 
50:	2683 
51:	1311 
52:	1311 
53:	1020 2683 4958 
54:	1020 
55:	1020 
56:	906 1884 
57:	2683 
58:	2683 
59:	2683 
60:	965 
61:	965 
62:	965 
63:	965 
64:	965 
65:	965 
66:	965 
67:	965 
68:	1 
69:	1 
70:	1 
71:	1144 
72:	1144 
73:	1020 
74:	1020 
75:	1020 1033 
76:	1020 
77:	1020 
78:	1020 
79:	1020 
80:	519 
81:	519 
82:	519 
83:	1095 
84:	1095 
85:	1115 
86:	1115 
87:	1115 
88:	1115 
89:	1115 
90:	1115 
91:	1379 2683 
92:	508 2683 
93:	2683 
94:	1144 
95:	1144 
96:	1144 
97:	1144 2608 
98:	1020 
99:	1020 
100:	1020 
101:	1020 
102:	1020 
103:	2885 
104:	508 1232 
105:	508 
106:	508 
107:	1257 
108:	1257 
109:	2683 
110:	508 
111:	508 
112:	1294 
113:	1294 
114:	332 1294 
115:	1311 
116:	1311 
117:	1331 
118:	1331 
119:	1331 
120:	1020 
121:	1020 
122:	965 2503 
123:	1379 2503 
124:	2503 
125:	1095 2503 
126:	508 1379 
127:	508 2683 
128:	1466 2885 
129:	135 
130:	135 2503 
131:	135 1379 
132:	135 1311 1379 1530 
133:	1331 1379 
134:	1020 
135:	1020 
136:	508 1020 
137:	519 
138:	519 1615 1616 
139:	1 
140:	1 
141:	1 
142:	1311 2503 
143:	2503 
144:	1 2683 
145:	2683 
146:	1311 
147:	1311 
148:	1311 
149:	1311 
150:	1311 
151:	1311 1752 
152:	1311 1752 
153:	1752 
154:	1311 
155:	1311 2683 
156:	1033 
157:	1033 
158:	1020 1872 
159:	1020 
160:	1884 
161:	1884 
162:	1884 
163:	1884 
164:	1615 
165:	1615 
166:	508 
167:	508 
168:	508 
169:	508 1466 
170:	1379 
171:	1379 
172:	508 1379 
173:	1986 
174:	1986 
175:	1986 
176:	1144 
177:	2002 
178:	2002 
179:	2002 
180:	2002 2013 2020 
181:	2683 
182:	508 
183:	1379 
184:	1379 
185:	508 2683 
186:	508 
187:	508 2714 4041 
188:	1095 
189:	1095 1379 
190:	906 
191:	906 
192:	1615 
193:	1311 1615 
194:	2020 
195:	2020 
196:	2162 
197:	2162 
198:	2162 
199:	2162 
200:	2162 
201:	2162 
202:	2162 
203:	2162 
204:	2002 
205:	2002 
206:	1144 2683 
207:	1020 1144 
208:	1144 
209:	4148 
210:	4148 
211:	4148 
212:	4148 
213:	2683 
214:	2683 
215:	1257 
216:	1257 
217:	2272 
218:	2272 
219:	2272 
220:	2355 
221:	2355 
222:	2355 
223:	2375 
224:	2375 
225:	2272 2375 
226:	2375 
227:	2375 
228:	135 
229:	135 
230:	1311 
231:	1311 
232:	1311 
233:	1379 
234:	2885 
235:	2885 
236:	2463 
237:	2463 
238:	2463 
239:	2503 
240:	2503 
241:	2503 
242:	2503 
243:	135 1144 1872 
244:	508 1144 1311 2503 
245:	2683 
246:	1311 
247:	1311 
248:	100 
249:	100 
250:	508 1311 
251:	508 
252:	2608 
253:	2503 
254:	1379 2503 
255:	2503 2714 
256:	508 
257:	508 
258:	2683 
259:	135 2683 
260:	1 2683 4148 
261:	2683 
262:	2683 
263:	2714 
264:	2714 
265:	2714 
266:	2714 
267:	2736 
268:	2736 
269:	906 2736 
270:	906 
271:	906 
272:	906 
273:	906 
274:	906 
275:	906 
276:	2683 
277:	2683 
278:	2818 
279:	2818 
280:	1115 
281:	2503 
282:	2355 2503 
283:	2503 
284:	1311 
285:	1311 2503 
286:	1311 
287:	1311 
288:	1311 
289:	2885 
290:	2885 
291:	2885 
292:	2885 
293:	2355 
294:	2355 
295:	2683 
296:	2683 
297:	1020 
298:	1020 
299:	1020 
300:	906 
301:	332 1115 
302:	332 2683 
303:	332 
304:	906 
305:	906 
306:	906 
307:	906 
308:	1616 
309:	1616 
310:	1616 
311:	1115 
312:	1115 1616 
313:	135 1115 
314:	3066 
315:	2714 3066 
316:	1311 1379 
317:	1294 1379 
318:	1144 
319:	2683 
320:	2683 
321:	1020 
322:	1020 
323:	1020 
324:	1020 
325:	1020 1294 2503 
326:	1294 
327:	1020 
328:	100 2013 
329:	2013 
330:	2013 
331:	4041 
332:	1294 
333:	1294 
334:	1294 
335:	1020 2683 
336:	1020 2885 
337:	2683 
338:	2683 
339:	2683 
340:	1752 1884 
341:	1311 1884 
342:	2714 
343:	2714 
344:	2714 
345:	2714 
346:	508 1115 
347:	508 
348:	508 
349:	135 
350:	135 
351:	135 2503 
352:	135 2503 
353:	135 
354:	2885 
355:	2885 
356:	100 1033 1232 
357:	1033 1466 
358:	1872 
359:	1872 
360:	1872 
361:	508 
362:	508 
363:	2608 
364:	2608 
365:	2608 
366:	1 
367:	1 
368:	2683 
369:	2683 
370:	1872 
371:	1530 
372:	1095 1530 
373:	1530 
374:	332 2608 
375:	1752 
376:	1752 2503 
377:	2020 
378:	2020 
379:	2020 
380:	1144 
381:	1144 2683 
382:	3655 
383:	2272 3655 
384:	3655 
385:	1311 
386:	1311 1379 
387:	2736 
388:	2736 
389:	2736 
390:	1 2683 
391:	3736 
392:	1616 2503 3736 
393:	3736 
394:	3736 
395:	3736 
396:	3736 
397:	3736 
398:	508 3736 
399:	2885 
400:	1115 1311 
401:	1311 1872 2683 
402:	2683 
403:	2683 
404:	2683 
405:	100 1466 
406:	100 
407:	100 
408:	2013 
409:	2013 
410:	2272 
411:	2272 
412:	2272 
413:	2375 
414:	1986 2375 
415:	2375 
416:	2375 
417:	2375 
418:	2375 
419:	2503 2608 
420:	135 
421:	135 
422:	1752 
423:	3066 
424:	1294 
425:	1294 
426:	2272 
427:	2272 
428:	2683 
429:	1144 
430:	1 
431:	1 
432:	1 
433:	1 
434:	1752 
435:	1033 
436:	2683 
437:	2683 
438:	1020 
439:	508 
440:	4041 
441:	1466 4041 
442:	1257 4041 
443:	2683 
444:	2608 2683 
445:	1020 
446:	1020 
447:	1020 
448:	4041 
449:	4041 
450:	1752 2683 
451:	508 
452:	4041 
453:	1033 
454:	4148 
455:	4148 
456:	1379 
457:	1379 
458:	1311 1379 
459:	1379 
460:	1379 
461:	2714 
462:	2714 
463:	2714 
464:	2714 
465:	2714 
466:	2714 
467:	2714 
468:	508 1020 
469:	1466 
470:	1466 
471:	1752 4148 
472:	1144 1752 
473:	1095 1144 1311 2683 
474:	1311 
475:	1311 
476:	1311 
477:	1311 
478:	2818 
479:	2818 
480:	2818 
481:	2714 2818 
482:	1294 
483:	2683 
484:	1331 
485:	1331 
486:	1331 
487:	1616 
488:	1616 
489:	508 1616 2714 
490:	1144 
491:	1144 
492:	1986 2503 
493:	1986 
494:	2608 
495:	2608 
496:	2608 
497:	2608 
498:	4148 
499:	2503 4148 
500:	2885 
501:	2002 
502:	2002 
503:	2002 
504:	2002 
505:	2020 
506:	508 1379 
507:	1095 1379 2503 3655 
508:	1379 
509:	1 
510:	2162 
511:	135 2162 
512:	1232 2818 
513:	1872 
514:	508 
515:	508 
516:	1466 
517:	1466 
518:	1466 
519:	1530 
520:	1530 2503 
521:	1033 
522:	3066 
523:	3066 
524:	3066 
525:	1095 2683 
526:	1144 2683 
527:	2683 
528:	2683 
529:	519 2683 2818 4041 
530:	1884 
531:	2683 4041 
532:	4041 
533:	508 2683 
534:	1379 
535:	1379 
536:	2020 
537:	2020 
538:	2020 
539:	2020 
540:	2020 
541:	1294 1530 2608 
542:	3655 
543:	3655 
544:	2818 3655 
545:	1530 
546:	1530 
547:	2885 
548:	2885 
549:	2885 
550:	2885 
551:	2885 
552:	508 2608 
553:	2272 4876 
554:	4876 
555:	4876 
556:	4876 
557:	4876 
558:	4876 
559:	4876 
560:	4876 
561:	332 1752 
562:	332 
563:	332 
564:	1033 
565:	1033 
566:	508 1257 
567:	508 1020 
568:	4958 
569:	4958 
570:	4958 
571:	4958 
572:	4958 
573:	4958 
574:	4958 
575:	2503 
576:	2503 2714 
577:	2503 
578:	1311 
579:	1311 
580:	1311 
581:	1311 
582:	1311 
583:	508 1311 
584:	508 
585:	508 
586:	508 
587:	508 
588:	135 508 
589:	135 
590:	135 2608 
591:	135 
592:	135 
593:	2683 
594:	2818 
595:	2818 
596:	1095 
597:	1095 
598:	1095 
599:	1232 
600:	1232 
601:	1232 
602:	508 
603:	2885 
604:	1144 2885 
605:	1986 
606:	1986 
607:	1986 
608:	1986 
609:	1020 2683 
610:	2885 
611:	2683 
612:	2013 
613:	2013 
614:	2683 
615:	1144 
616:	1144 
617:	508 
618:	508 
619:	2020 
620:	1530 
621:	1530 
622:	1530 
623:	2885 
624:	1144 
625:	1144 
626:	1144 
627:	1144 
628:	1144 
629:	1616 
630:	1616 
631:	1616 
632:	1616 
633:	4148 
634:	1466 
635:	1466 
636:	1257 
637:	1257 
638:	1615 
639:	1615 
640:	1615 
641:	1615 
642:	2272 
643:	2272 
644:	2272 
645:	1144 
646:	1144 
647:	1144 2714 
648:	1232 
649:	1232 2714 
650:	508 
651:	508 
