1:	1 124 
2:	3993 
3:	3655 3993 
4:	2379 3993 16332 
5:	3993 
6:	98 6156 
7:	98 115 
8:	124 
9:	135 
10:	135 
11:	135 
12:	236 1388 
13:	236 
14:	236 
15:	216 4878 14485 
16:	232 
17:	232 236 237 4303 
18:	232 
19:	232 236 17380 
20:	3993 
21:	2379 3993 
22:	236 287 
23:	287 296 16082 
24:	236 287 335 
25:	124 6105 
26:	236 335 338 
27:	236 335 
28:	359 3364 12233 
29:	236 359 
30:	124 236 2446 
31:	236 913 2446 12314 12610 13665 
32:	4838 14510 
33:	507 
34:	1579 2379 
35:	236 
36:	236 
37:	2379 
38:	569 1317 2379 12314 
39:	236 2379 
40:	4732 
41:	3187 
42:	13665 
43:	236 13665 
44:	13665 
45:	13665 
46:	236 
47:	236 1209 7803 13665 
48:	236 671 1324 
49:	236 569 1388 4505 
50:	236 569 3993 
51:	335 12000 
52:	335 
53:	507 12314 
54:	236 2379 11997 
55:	236 1188 
56:	2705 
57:	823 2705 
58:	569 
59:	834 
60:	834 842 
61:	834 
62:	338 
63:	338 
64:	236 
65:	236 12314 
66:	2926 12314 
67:	671 2454 4505 12314 15149 
68:	12314 
69:	913 12314 
70:	16671 
71:	16671 
72:	16671 
73:	236 6156 
74:	6156 11106 
75:	1021 1579 3187 4640 10698 
76:	1065 1068 4838 
77:	1065 3187 
78:	1089 
79:	124 
80:	124 216 
81:	124 
82:	236 15321 
83:	15321 
84:	236 
85:	236 
86:	236 
87:	236 
88:	236 
89:	236 
90:	236 
91:	236 
92:	1188 16082 
93:	1188 
94:	1188 1201 
95:	236 569 
96:	569 1209 
97:	1219 
98:	1219 
99:	1219 4640 
100:	1219 3187 
101:	1219 
102:	1219 
103:	1219 
104:	1288 
105:	1288 
106:	2283 6156 
107:	13665 
108:	1317 13665 
109:	13665 
110:	1321 
111:	1321 1324 
112:	2379 
113:	2379 
114:	2379 
115:	2379 
116:	2379 
117:	236 2379 
118:	124 11251 12314 
119:	124 2379 
120:	124 236 335 4514 
121:	1370 
122:	1370 
123:	124 1370 
124:	1370 1388 1389 
125:	1407 14499 
126:	115 1407 1420 
127:	1407 
128:	1065 11412 
129:	1065 
130:	1447 3187 
131:	1458 2379 
132:	1460 2379 
133:	2379 
134:	11542 12670 
135:	11542 
136:	1579 
137:	4838 
138:	236 2379 4838 
139:	14600 
140:	14600 15461 
141:	236 14396 
142:	14396 
143:	14396 
144:	1551 
145:	1551 1563 
146:	236 
147:	236 
148:	236 
149:	1579 3187 
150:	1579 4640 
151:	115 236 
152:	236 
153:	236 
154:	236 1321 
155:	236 1579 1661 2379 10420 
156:	1579 2396 10420 
157:	7803 11861 
158:	7803 
159:	3518 4640 4838 
160:	236 
161:	236 1388 5028 
162:	1741 
163:	1741 
164:	236 7803 
165:	236 11427 
166:	236 
167:	9694 
168:	13024 
169:	13024 
170:	115 10420 13024 
171:	1880 
172:	236 1880 
173:	236 1880 16671 
174:	335 5522 
175:	13665 
176:	1934 13665 
177:	1 4124 4144 
178:	1 
179:	1 
180:	1579 1969 10595 
181:	10595 
182:	13845 
183:	11108 13845 
184:	13845 
185:	236 2062 12314 
186:	2062 
187:	6105 
188:	124 1579 14436 
189:	124 236 2379 12314 
190:	237 11427 
191:	11427 
192:	236 
193:	236 
194:	1201 5352 
195:	236 12314 
196:	236 1551 
197:	236 2198 3009 
198:	236 
199:	2198 13557 
200:	236 913 2198 4838 12314 
201:	2283 
202:	2283 5259 
203:	115 287 338 1219 2307 
204:	115 124 236 
205:	236 
206:	236 
207:	236 
208:	236 
209:	2973 13665 
210:	2336 2823 13665 
211:	11808 
212:	11808 
213:	11808 
214:	236 11808 12723 
215:	2379 4838 
216:	2396 4838 
217:	2409 4838 
218:	4838 16882 
219:	1321 
220:	1321 
221:	236 1321 5032 13448 
222:	5522 
223:	5522 
224:	236 
225:	236 
226:	236 
227:	2446 
228:	2454 
229:	2454 
230:	2454 
231:	2466 
232:	2283 2466 2468 
233:	2466 2470 
234:	2466 2480 13663 
235:	2446 
236:	2446 
237:	671 
238:	2379 2396 
239:	236 1324 
240:	1324 
241:	1579 2379 2540 4505 
242:	2379 
243:	2379 
244:	1321 
245:	236 1321 2307 2597 6105 11251 
246:	2609 
247:	2609 
248:	2609 
249:	1089 2634 
250:	1089 
251:	2336 
252:	2336 11656 12314 
253:	236 2609 
254:	2609 
255:	2663 
256:	2663 
257:	2663 3993 
258:	2663 
259:	3993 
260:	3993 
261:	3993 14861 
262:	3993 
263:	2468 2703 2705 
264:	2703 
265:	14861 
266:	8976 14861 
267:	2734 
268:	1579 2736 
269:	2736 3187 
270:	2736 2753 
271:	12309 
272:	124 236 1579 2771 12309 
273:	12309 
274:	2773 
275:	842 2773 12588 
276:	12309 
277:	2779 
278:	124 2779 
279:	4144 
280:	115 8837 
281:	10047 
282:	10047 
283:	3557 
284:	1969 3557 11382 11542 16082 
285:	2823 
286:	2823 10004 12594 
287:	2823 
288:	2926 
289:	2926 
290:	2911 2926 
291:	2926 2929 
292:	2926 
293:	2823 2949 
294:	2949 6832 
295:	2949 12594 
296:	2973 
297:	2773 
298:	2773 
299:	834 
300:	834 
301:	834 
302:	834 
303:	834 
304:	236 
305:	236 
306:	3009 
307:	3009 
308:	3009 
309:	2454 
