Source,Target,Type,Id,Weight
1,301,undirected,1,1
1,629,undirected,2,1
1,686,undirected,3,1
1,90,undirected,4,1
10,124,undirected,5,1
10,132,undirected,6,1
10,142,undirected,7,1
10,148,undirected,8,1
10,152,undirected,9,1
10,203,undirected,10,1
10,204,undirected,11,1
10,251,undirected,12,1
10,254,undirected,13,1
10,258,undirected,14,1
10,296,undirected,15,1
10,297,undirected,16,1
10,308,undirected,17,1
10,327,undirected,18,1
10,334,undirected,19,1
10,388,undirected,20,1
10,391,undirected,21,1
10,467,undirected,22,1
10,486,undirected,23,1
10,487,undirected,24,1
10,507,undirected,25,1
10,521,undirected,26,1
10,54,undirected,27,1
10,64,undirected,28,1
10,67,undirected,29,1
10,68,undirected,30,1
10,78,undirected,31,1
10,79,undirected,32,1
100,625,undirected,33,1
100,736,undirected,34,1
100,741,undirected,35,1
101,155,undirected,36,1
101,229,undirected,37,1
101,279,undirected,38,1
101,304,undirected,39,1
101,305,undirected,40,1
101,342,undirected,41,1
101,392,undirected,42,1
101,431,undirected,43,1
101,607,undirected,44,1
101,608,undirected,45,1
101,705,undirected,46,1
101,715,undirected,47,1
102,318,undirected,48,1
102,319,undirected,49,1
103,104,undirected,50,1
103,164,undirected,51,1
103,248,undirected,52,1
103,532,undirected,53,1
103,643,undirected,54,1
103,662,undirected,55,1
103,740,undirected,56,1
104,164,undirected,57,1
105,106,undirected,58,1
105,281,undirected,59,1
105,360,undirected,60,1
105,361,undirected,61,1
105,656,undirected,62,1
106,281,undirected,63,1
106,360,undirected,64,1
106,361,undirected,65,1
106,656,undirected,66,1
107,140,undirected,67,1
107,461,undirected,68,1
107,750,undirected,69,1
108,319,undirected,70,1
108,389,undirected,71,1
108,483,undirected,72,1
109,247,undirected,73,1
109,311,undirected,74,1
109,365,undirected,75,1
109,369,undirected,76,1
109,381,undirected,77,1
109,404,undirected,78,1
109,448,undirected,79,1
109,534,undirected,80,1
109,573,undirected,81,1
109,582,undirected,82,1
109,630,undirected,83,1
109,731,undirected,84,1
11,490,undirected,85,1
11,712,undirected,86,1
110,218,undirected,87,1
110,263,undirected,88,1
110,275,undirected,89,1
110,345,undirected,90,1
110,396,undirected,91,1
110,412,undirected,92,1
110,530,undirected,93,1
110,540,undirected,94,1
110,569,undirected,95,1
110,570,undirected,96,1
110,587,undirected,97,1
110,717,undirected,98,1
111,337,undirected,99,1
112,126,undirected,100,1
112,625,undirected,101,1
113,114,undirected,102,1
114,397,undirected,103,1
114,741,undirected,104,1
115,123,undirected,105,1
116,291,undirected,106,1
117,139,undirected,107,1
117,319,undirected,108,1
117,374,undirected,109,1
117,528,undirected,110,1
117,529,undirected,111,1
117,566,undirected,112,1
117,603,undirected,113,1
117,604,undirected,114,1
118,352,undirected,115,1
118,353,undirected,116,1
119,125,undirected,117,1
119,141,undirected,118,1
119,360,undirected,119,1
119,362,undirected,120,1
119,424,undirected,121,1
119,548,undirected,122,1
119,727,undirected,123,1
12,13,undirected,124,1
12,14,undirected,125,1
12,300,undirected,126,1
12,301,undirected,127,1
12,496,undirected,128,1
12,509,undirected,129,1
12,648,undirected,130,1
12,678,undirected,131,1
120,441,undirected,132,1
120,744,undirected,133,1
121,516,undirected,134,1
122,123,undirected,135,1
122,352,undirected,136,1
122,381,undirected,137,1
122,477,undirected,138,1
122,478,undirected,139,1
122,511,undirected,140,1
122,630,undirected,141,1
122,649,undirected,142,1
122,674,undirected,143,1
122,703,undirected,144,1
122,704,undirected,145,1
122,705,undirected,146,1
122,706,undirected,147,1
122,707,undirected,148,1
122,738,undirected,149,1
123,143,undirected,150,1
123,478,undirected,151,1
123,721,undirected,152,1
124,254,undirected,153,1
124,258,undirected,154,1
124,327,undirected,155,1
124,467,undirected,156,1
124,486,undirected,157,1
124,487,undirected,158,1
125,141,undirected,159,1
125,360,undirected,160,1
125,362,undirected,161,1
125,424,undirected,162,1
125,495,undirected,163,1
125,548,undirected,164,1
125,669,undirected,165,1
125,727,undirected,166,1
127,128,undirected,167,1
127,224,undirected,168,1
127,481,undirected,169,1
127,735,undirected,170,1
128,224,undirected,171,1
128,481,undirected,172,1
128,735,undirected,173,1
129,241,undirected,174,1
129,319,undirected,175,1
129,347,undirected,176,1
129,473,undirected,177,1
129,515,undirected,178,1
129,565,undirected,179,1
13,14,undirected,180,1
13,496,undirected,181,1
130,145,undirected,182,1
130,146,undirected,183,1
131,481,undirected,184,1
133,448,undirected,185,1
134,696,undirected,186,1
135,330,undirected,187,1
135,331,undirected,188,1
136,183,undirected,189,1
136,369,undirected,190,1
136,381,undirected,191,1
137,426,undirected,192,1
137,494,undirected,193,1
138,198,undirected,194,1
138,353,undirected,195,1
138,364,undirected,196,1
138,425,undirected,197,1
138,429,undirected,198,1
138,436,undirected,199,1
138,439,undirected,200,1
138,501,undirected,201,1
138,633,undirected,202,1
138,634,undirected,203,1
138,660,undirected,204,1
138,679,undirected,205,1
138,742,undirected,206,1
139,319,undirected,207,1
139,374,undirected,208,1
139,528,undirected,209,1
139,529,undirected,210,1
139,566,undirected,211,1
139,603,undirected,212,1
139,604,undirected,213,1
14,496,undirected,214,1
140,461,undirected,215,1
141,324,undirected,216,1
141,360,undirected,217,1
141,362,undirected,218,1
141,424,undirected,219,1
141,548,undirected,220,1
141,727,undirected,221,1
142,148,undirected,222,1
142,152,undirected,223,1
142,203,undirected,224,1
142,204,undirected,225,1
142,296,undirected,226,1
142,297,undirected,227,1
142,308,undirected,228,1
142,391,undirected,229,1
143,158,undirected,230,1
143,721,undirected,231,1
144,161,undirected,232,1
144,545,undirected,233,1
144,692,undirected,234,1
145,146,undirected,235,1
145,159,undirected,236,1
145,253,undirected,237,1
145,527,undirected,238,1
145,680,undirected,239,1
145,749,undirected,240,1
148,152,undirected,241,1
148,203,undirected,242,1
148,204,undirected,243,1
148,296,undirected,244,1
148,297,undirected,245,1
148,308,undirected,246,1
148,391,undirected,247,1
149,167,undirected,248,1
149,222,undirected,249,1
149,355,undirected,250,1
15,162,undirected,251,1
15,168,undirected,252,1
15,225,undirected,253,1
15,274,undirected,254,1
15,326,undirected,255,1
15,381,undirected,256,1
15,448,undirected,257,1
15,505,undirected,258,1
15,544,undirected,259,1
15,71,undirected,260,1
15,724,undirected,261,1
15,93,undirected,262,1
150,245,undirected,263,1
150,308,undirected,264,1
151,211,undirected,265,1
151,456,undirected,266,1
151,734,undirected,267,1
152,203,undirected,268,1
152,204,undirected,269,1
152,296,undirected,270,1
152,297,undirected,271,1
152,308,undirected,272,1
152,391,undirected,273,1
152,635,undirected,274,1
153,593,undirected,275,1
153,594,undirected,276,1
154,381,undirected,277,1
154,738,undirected,278,1
155,229,undirected,279,1
155,279,undirected,280,1
155,304,undirected,281,1
155,305,undirected,282,1
155,342,undirected,283,1
155,392,undirected,284,1
155,431,undirected,285,1
155,607,undirected,286,1
155,608,undirected,287,1
156,343,undirected,288,1
156,563,undirected,289,1
156,605,undirected,290,1
157,191,undirected,291,1
157,193,undirected,292,1
157,536,undirected,293,1
158,240,undirected,294,1
16,375,undirected,295,1
16,422,undirected,296,1
16,624,undirected,297,1
160,300,undirected,298,1
160,668,undirected,299,1
161,545,undirected,300,1
161,692,undirected,301,1
162,168,undirected,302,1
162,225,undirected,303,1
162,274,undirected,304,1
162,326,undirected,305,1
162,381,undirected,306,1
162,448,undirected,307,1
162,505,undirected,308,1
162,544,undirected,309,1
162,724,undirected,310,1
163,299,undirected,311,1
163,403,undirected,312,1
165,418,undirected,313,1
165,518,undirected,314,1
166,430,undirected,315,1
166,668,undirected,316,1
167,181,undirected,317,1
167,222,undirected,318,1
167,355,undirected,319,1
167,470,undirected,320,1
167,726,undirected,321,1
168,225,undirected,322,1
168,274,undirected,323,1
168,326,undirected,324,1
168,381,undirected,325,1
168,448,undirected,326,1
168,505,undirected,327,1
168,544,undirected,328,1
168,724,undirected,329,1
169,423,undirected,330,1
169,733,undirected,331,1
17,242,undirected,332,1
17,244,undirected,333,1
17,246,undirected,334,1
17,259,undirected,335,1
17,301,undirected,336,1
17,356,undirected,337,1
17,380,undirected,338,1
17,462,undirected,339,1
17,481,undirected,340,1
17,739,undirected,341,1
17,741,undirected,342,1
17,88,undirected,343,1
170,538,undirected,344,1
171,183,undirected,345,1
171,493,undirected,346,1
171,576,undirected,347,1
172,262,undirected,348,1
172,294,undirected,349,1
172,422,undirected,350,1
172,524,undirected,351,1
172,647,undirected,352,1
172,719,undirected,353,1
172,720,undirected,354,1
173,574,undirected,355,1
174,252,undirected,356,1
174,328,undirected,357,1
174,417,undirected,358,1
174,671,undirected,359,1
174,743,undirected,360,1
175,531,undirected,361,1
176,531,undirected,362,1
177,178,undirected,363,1
177,336,undirected,364,1
177,490,undirected,365,1
177,519,undirected,366,1
177,645,undirected,367,1
178,336,undirected,368,1
178,490,undirected,369,1
178,519,undirected,370,1
178,645,undirected,371,1
179,615,undirected,372,1
179,677,undirected,373,1
18,270,undirected,374,1
18,445,undirected,375,1
18,508,undirected,376,1
18,55,undirected,377,1
18,56,undirected,378,1
18,725,undirected,379,1
180,269,undirected,380,1
180,741,undirected,381,1
181,470,undirected,382,1
181,726,undirected,383,1
182,262,undirected,384,1
182,387,undirected,385,1
182,556,undirected,386,1
182,663,undirected,387,1
183,369,undirected,388,1
183,381,undirected,389,1
183,493,undirected,390,1
183,576,undirected,391,1
183,630,undirected,392,1
183,649,undirected,393,1
184,296,undirected,394,1
185,516,undirected,395,1
185,717,undirected,396,1
187,630,undirected,397,1
188,219,undirected,398,1
188,469,undirected,399,1
188,689,undirected,400,1
189,662,undirected,401,1
19,20,undirected,402,1
19,360,undirected,403,1
19,363,undirected,404,1
190,273,undirected,405,1
190,303,undirected,406,1
190,319,undirected,407,1
190,323,undirected,408,1
190,395,undirected,409,1
190,427,undirected,410,1
190,449,undirected,411,1
190,502,undirected,412,1
190,596,undirected,413,1
190,600,undirected,414,1
190,711,undirected,415,1
191,193,undirected,416,1
191,536,undirected,417,1
192,341,undirected,418,1
192,421,undirected,419,1
192,433,undirected,420,1
192,555,undirected,421,1
192,613,undirected,422,1
192,709,undirected,423,1
193,195,undirected,424,1
193,236,undirected,425,1
193,320,undirected,426,1
193,338,undirected,427,1
193,395,undirected,428,1
193,536,undirected,429,1
193,662,undirected,430,1
193,738,undirected,431,1
193,753,undirected,432,1
194,195,undirected,433,1
196,292,undirected,434,1
196,341,undirected,435,1
197,198,undirected,436,1
198,227,undirected,437,1
198,353,undirected,438,1
198,364,undirected,439,1
198,425,undirected,440,1
198,429,undirected,441,1
198,436,undirected,442,1
198,439,undirected,443,1
198,501,undirected,444,1
198,588,undirected,445,1
198,633,undirected,446,1
198,634,undirected,447,1
198,660,undirected,448,1
198,679,undirected,449,1
198,682,undirected,450,1
198,742,undirected,451,1
198,754,undirected,452,1
199,217,undirected,453,1
199,236,undirected,454,1
199,321,undirected,455,1
199,335,undirected,456,1
199,348,undirected,457,1
199,366,undirected,458,1
199,448,undirected,459,1
199,485,undirected,460,1
199,504,undirected,461,1
199,523,undirected,462,1
199,601,undirected,463,1
199,621,undirected,464,1
199,657,undirected,465,1
199,659,undirected,466,1
199,662,undirected,467,1
2,169,undirected,468,1
2,190,undirected,469,1
2,202,undirected,470,1
2,255,undirected,471,1
2,256,undirected,472,1
2,268,undirected,473,1
2,272,undirected,474,1
2,273,undirected,475,1
2,277,undirected,476,1
2,287,undirected,477,1
2,303,undirected,478,1
2,319,undirected,479,1
2,32,undirected,480,1
2,322,undirected,481,1
2,323,undirected,482,1
2,357,undirected,483,1
2,38,undirected,484,1
2,395,undirected,485,1
2,4,undirected,486,1
2,404,undirected,487,1
2,423,undirected,488,1
2,427,undirected,489,1
2,446,undirected,490,1
2,449,undirected,491,1
2,450,undirected,492,1
2,47,undirected,493,1
2,475,undirected,494,1
2,5,undirected,495,1
2,502,undirected,496,1
2,517,undirected,497,1
2,526,undirected,498,1
2,541,undirected,499,1
2,546,undirected,500,1
2,557,undirected,501,1
2,595,undirected,502,1
2,596,undirected,503,1
2,600,undirected,504,1
2,625,undirected,505,1
2,644,undirected,506,1
2,65,undirected,507,1
2,650,undirected,508,1
2,697,undirected,509,1
2,702,undirected,510,1
2,710,undirected,511,1
2,711,undirected,512,1
2,733,undirected,513,1
2,746,undirected,514,1
2,87,undirected,515,1
20,360,undirected,516,1
20,363,undirected,517,1
200,314,undirected,518,1
200,372,undirected,519,1
200,380,undirected,520,1
200,498,undirected,521,1
200,554,undirected,522,1
200,560,undirected,523,1
200,594,undirected,524,1
200,609,undirected,525,1
200,673,undirected,526,1
201,570,undirected,527,1
202,595,undirected,528,1
203,204,undirected,529,1
