Id,Label,InfoMAP
1,0,67
301,0,10
629,0,67
686,0,67
90,0,67
10,0,1
124,0,33
132,0,1
142,0,1
148,0,1
152,0,1
203,0,1
204,0,1
251,0,80
254,0,33
258,0,33
296,0,1
297,0,1
308,0,1
327,0,33
334,0,80
388,0,80
391,0,1
467,0,33
486,0,33
487,0,33
507,0,69
521,0,69
54,0,0
64,0,33
67,0,69
68,0,69
78,0,1
79,0,1
100,0,31
625,0,31
736,0,31
741,0,18
101,0,21
155,0,21
229,0,21
279,0,21
304,0,21
305,0,21
342,0,21
392,0,21
431,0,21
607,0,21
608,0,21
705,0,0
715,0,21
102,0,2
318,0,2
319,0,2
103,0,42
104,0,42
164,0,42
248,0,42
532,0,42
643,0,42
662,0,23
740,0,42
105,0,5
106,0,5
281,0,5
360,0,5
361,0,5
656,0,5
107,0,72
140,0,72
461,0,72
750,0,72
108,0,2
389,0,2
483,0,2
109,0,19
247,0,19
311,0,19
365,0,19
369,0,19
381,0,0
404,0,19
448,0,7
534,0,7
573,0,19
582,0,7
630,0,0
731,0,7
11,0,6
490,0,6
712,0,6
110,0,13
218,0,13
263,0,13
275,0,13
345,0,13
396,0,13
412,0,13
530,0,13
540,0,13
569,0,13
570,0,13
587,0,13
717,0,13
111,0,25
337,0,25
112,0,31
126,0,31
113,0,70
114,0,70
397,0,70
115,0,59
123,0,59
116,0,3
291,0,3
117,0,2
139,0,2
374,0,2
528,0,2
529,0,2
566,0,2
603,0,2
604,0,2
118,0,4
352,0,0
353,0,4
119,0,16
125,0,16
141,0,16
362,0,16
424,0,16
548,0,16
727,0,16
12,0,28
13,0,28
14,0,28
300,0,28
496,0,28
509,0,28
648,0,28
678,0,28
120,0,68
441,0,68
744,0,68
121,0,43
516,0,43
122,0,0
477,0,0
478,0,0
511,0,0
649,0,0
674,0,0
703,0,0
704,0,0
706,0,0
707,0,0
738,0,0
143,0,59
721,0,59
495,0,16
669,0,16
127,0,40
128,0,40
224,0,40
481,0,40
735,0,40
129,0,50
241,0,50
347,0,50
473,0,50
515,0,50
565,0,50
130,0,41
145,0,41
146,0,41
131,0,40
133,0,7
134,0,54
696,0,54
135,0,61
330,0,61
331,0,61
136,0,58
183,0,58
137,0,27
426,0,27
494,0,27
138,0,4
198,0,4
364,0,4
425,0,4
429,0,4
436,0,4
439,0,4
501,0,4
633,0,4
634,0,4
660,0,4
679,0,4
742,0,4
324,0,17
158,0,59
144,0,38
161,0,38
545,0,38
692,0,38
159,0,41
253,0,41
527,0,41
680,0,41
749,0,41
149,0,3
167,0,3
222,0,3
355,0,3
15,0,7
162,0,7
168,0,7
225,0,7
274,0,7
326,0,7
505,0,7
544,0,7
71,0,7
724,0,7
93,0,7
150,0,1
245,0,1
151,0,17
211,0,17
456,0,17
734,0,17
635,0,1
153,0,14
593,0,14
594,0,14
154,0,0
156,0,60
343,0,60
563,0,60
605,0,60
157,0,39
191,0,39
193,0,39
536,0,39
240,0,12
16,0,57
375,0,57
422,0,57
624,0,57
160,0,28
668,0,20
163,0,64
299,0,64
403,0,64
165,0,11
418,0,11
518,0,11
166,0,20
430,0,20
181,0,3
470,0,3
726,0,3
169,0,9
423,0,9
733,0,9
17,0,10
242,0,18
244,0,10
246,0,56
259,0,10
356,0,10
380,0,18
462,0,10
739,0,10
88,0,10
170,0,79
538,0,79
171,0,58
493,0,58
576,0,58
172,0,12
262,0,12
294,0,12
524,0,12
647,0,12
719,0,12
720,0,12
173,0,1
574,0,1
174,0,29
252,0,29
328,0,29
417,0,29
671,0,29
743,0,29
175,0,66
531,0,66
176,0,66
177,0,6
178,0,6
336,0,6
519,0,6
645,0,6
179,0,11
615,0,11
677,0,11
18,0,26
270,0,26
445,0,26
508,0,26
55,0,26
56,0,26
725,0,26
180,0,18
269,0,18
182,0,12
387,0,12
556,0,12
663,0,12
184,0,1
185,0,43
187,0,0
188,0,30
219,0,30
469,0,30
689,0,30
189,0,23
19,0,5
20,0,5
363,0,5
190,0,8
273,0,8
303,0,8
323,0,8
395,0,8
427,0,8
449,0,8
502,0,8
596,0,8
600,0,8
711,0,8
192,0,15
341,0,15
421,0,15
433,0,15
555,0,15
613,0,15
709,0,15
195,0,39
236,0,23
320,0,39
338,0,23
753,0,39
194,0,39
196,0,15
292,0,15
197,0,4
227,0,73
588,0,73
682,0,73
754,0,73
199,0,23
217,0,45
321,0,23
335,0,23
348,0,63
366,0,35
485,0,45
504,0,23
523,0,55
601,0,62
621,0,35
657,0,76
659,0,23
2,0,9
202,0,9
255,0,37
256,0,37
268,0,9
272,0,24
277,0,9
287,0,9
32,0,9
322,0,37
357,0,37
38,0,9
4,0,37
446,0,9
450,0,47
47,0,37
475,0,9
5,0,47
517,0,31
526,0,9
541,0,47
546,0,9
557,0,47
595,0,9
644,0,9
65,0,9
650,0,9
697,0,47
702,0,9
710,0,37
746,0,47
87,0,9
200,0,32
314,0,32
372,0,32
498,0,32
554,0,32
560,0,32
609,0,32
673,0,32
201,0,13
205,0,14
285,0,14
550,0,14
206,0,20
383,0,20
553,0,20
207,0,82
471,0,82
208,0,56
488,0,56
549,0,56
209,0,11
210,0,11
482,0,11
616,0,11
21,0,6
312,0,6
632,0,6
708,0,6
714,0,40
212,0,44
213,0,44
465,0,44
552,0,44
619,0,44
