Id,Label,LPA
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
10,0,1
66,0,1
85,0,1
100,0,2
101,0,2
105,0,0
106,0,0
108,0,1
109,0,1
11,0,1
113,0,1
12,0,1
13,0,1
14,0,1
16,0,0
17,0,0
18,0,0
19,0,0
86,0,3
87,0,3
88,0,3
89,0,3
116,0,0
27,0,0
94,0,0
95,0,0
20,0,1
21,0,1
22,0,4
23,0,4
24,0,4
25,0,4
26,0,1
36,0,1
37,0,1
38,0,1
42,0,1
72,0,1
102,0,5
28,0,5
29,0,5
30,0,5
31,0,5
46,0,0
47,0,0
59,0,5
60,0,5
61,0,5
62,0,5
32,0,1
33,0,1
34,0,1
35,0,1
77,0,1
93,0,1
99,0,1
39,0,1
40,0,1
41,0,1
107,0,1
43,0,1
44,0,1
45,0,1
48,0,2
49,0,2
50,0,2
51,0,2
52,0,0
55,0,2
96,0,0
97,0,0
98,0,0
53,0,1
54,0,1
6,0,6
115,0,6
15,0,6
57,0,6
58,0,6
7,0,1
8,0,1
83,0,6
84,0,6
9,0,6
92,0,6
63,0,1
64,0,1
110,0,1
67,0,1
81,0,1
68,0,6
69,0,6
70,0,6
104,0,1
111,0,1
112,0,1
56,0,1
65,0,1
73,0,1
74,0,1
75,0,1
82,0,1
71,0,1
76,0,7
117,0,7
78,0,7
79,0,7
80,0,7
114,0,7
103,0,1
90,0,1
91,0,1
