Id,Label,Walktrap
1,0,52
301,0,19
629,0,52
686,0,52
90,0,52
10,0,11
124,0,11
132,0,11
142,0,11
148,0,11
152,0,11
203,0,11
204,0,11
251,0,11
254,0,11
258,0,11
296,0,11
297,0,11
308,0,11
327,0,11
334,0,11
388,0,11
391,0,11
467,0,11
486,0,11
487,0,11
507,0,11
521,0,11
54,0,2
64,0,11
67,0,11
68,0,11
78,0,11
79,0,11
100,0,0
625,0,0
736,0,0
741,0,0
101,0,20
155,0,20
229,0,20
279,0,20
304,0,20
305,0,20
342,0,20
392,0,20
431,0,20
607,0,20
608,0,20
705,0,2
715,0,20
102,0,8
318,0,8
319,0,8
103,0,23
104,0,23
164,0,23
248,0,23
532,0,23
643,0,23
662,0,2
740,0,23
105,0,1
106,0,1
281,0,1
360,0,1
361,0,1
656,0,1
107,0,12
140,0,12
461,0,12
750,0,12
108,0,8
389,0,8
483,0,8
109,0,2
247,0,2
311,0,2
365,0,2
369,0,2
381,0,2
404,0,2
448,0,2
534,0,2
573,0,2
582,0,2
630,0,2
731,0,2
11,0,17
490,0,17
712,0,17
110,0,6
218,0,6
263,0,6
275,0,6
345,0,6
396,0,6
412,0,6
530,0,6
540,0,6
569,0,6
570,0,6
587,0,6
717,0,6
111,0,12
337,0,12
112,0,47
126,0,47
113,0,24
114,0,24
397,0,24
115,0,28
123,0,28
116,0,7
291,0,7
117,0,8
139,0,8
374,0,8
528,0,8
529,0,8
566,0,8
603,0,8
604,0,8
118,0,14
352,0,2
353,0,14
119,0,1
125,0,1
141,0,1
362,0,1
424,0,1
548,0,1
727,0,1
12,0,21
13,0,21
14,0,21
300,0,19
496,0,21
509,0,21
648,0,21
678,0,19
120,0,42
441,0,42
744,0,42
121,0,30
516,0,30
122,0,2
477,0,2
478,0,2
511,0,2
649,0,2
674,0,2
703,0,2
704,0,2
706,0,2
707,0,2
738,0,2
143,0,28
721,0,28
495,0,1
669,0,1
127,0,0
128,0,0
224,0,0
481,0,0
735,0,0
129,0,8
241,0,8
347,0,8
473,0,8
515,0,8
565,0,8
130,0,22
145,0,22
146,0,22
131,0,0
133,0,2
134,0,26
696,0,26
135,0,41
330,0,41
331,0,41
136,0,2
183,0,2
137,0,27
426,0,27
494,0,27
138,0,14
198,0,14
364,0,14
425,0,14
429,0,14
436,0,14
439,0,14
501,0,14
633,0,14
634,0,14
660,0,14
679,0,14
742,0,14
324,0,18
158,0,28
144,0,33
161,0,33
545,0,33
692,0,33
159,0,22
253,0,22
527,0,22
680,0,22
749,0,22
149,0,7
167,0,7
222,0,7
355,0,7
15,0,2
162,0,2
168,0,2
225,0,2
274,0,2
326,0,2
505,0,2
544,0,2
71,0,2
724,0,2
93,0,2
150,0,11
245,0,11
151,0,18
211,0,18
456,0,18
734,0,18
635,0,11
153,0,13
593,0,13
594,0,13
154,0,2
156,0,53
343,0,53
563,0,53
605,0,53
157,0,5
191,0,5
193,0,5
536,0,5
240,0,7
16,0,54
375,0,54
422,0,54
624,0,54
160,0,19
668,0,19
163,0,29
299,0,29
403,0,29
165,0,4
418,0,4
518,0,4
166,0,19
430,0,19
181,0,7
470,0,7
726,0,7
169,0,8
423,0,8
733,0,8
17,0,0
242,0,0
244,0,0
246,0,0
259,0,0
356,0,0
380,0,0
462,0,0
739,0,0
88,0,0
170,0,51
538,0,51
171,0,2
493,0,2
576,0,2
172,0,16
262,0,16
294,0,16
524,0,16
647,0,16
719,0,16
720,0,16
173,0,11
574,0,11
174,0,38
252,0,38
328,0,38
417,0,38
671,0,38
743,0,38
175,0,3
531,0,3
176,0,3
177,0,17
