Id,Label,Walktrap
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
10,0,1
66,0,1
85,0,1
100,0,3
101,0,3
105,0,0
106,0,0
108,0,1
109,0,1
11,0,7
113,0,7
12,0,7
13,0,7
14,0,7
16,0,0
17,0,0
18,0,0
19,0,6
86,0,6
87,0,6
88,0,6
89,0,6
116,0,0
27,0,0
94,0,0
95,0,0
20,0,2
21,0,2
22,0,9
23,0,9
24,0,9
25,0,9
26,0,1
36,0,1
37,0,1
38,0,1
42,0,1
72,0,1
102,0,5
28,0,5
29,0,5
30,0,5
31,0,5
46,0,0
47,0,0
59,0,5
60,0,5
61,0,5
62,0,5
32,0,1
33,0,1
34,0,1
35,0,1
77,0,1
93,0,1
99,0,1
39,0,1
40,0,1
41,0,1
107,0,1
43,0,1
44,0,1
45,0,1
48,0,3
49,0,3
50,0,3
51,0,3
52,0,0
55,0,3
96,0,0
97,0,0
98,0,0
53,0,4
54,0,4
6,0,2
115,0,2
15,0,2
57,0,2
58,0,2
7,0,1
8,0,1
83,0,2
84,0,2
9,0,2
92,0,2
63,0,1
64,0,1
110,0,1
67,0,1
81,0,1
68,0,2
69,0,2
70,0,2
104,0,1
111,0,1
112,0,1
56,0,1
65,0,1
73,0,1
74,0,1
75,0,1
82,0,1
71,0,1
76,0,8
117,0,8
78,0,8
79,0,8
80,0,8
114,0,8
103,0,1
90,0,1
91,0,1
