Id,Label,COPRA
1,0,19
2,0,19
3,0,19
4,0,19
5,0,19
6,0,115
7,0,7
8,0,115
9,0,115
10,0,115
11,0,14
12,0,14
13,0,14
14,0,14
15,0,115
16,0,19
17,0,19
18,0,19
19,0,19
20,0,7
21,0,7
22,0,7
23,0,7
24,0,7
25,0,7
26,0,36
27,0,106
28,0,7
29,0,7
30,0,7
31,0,7
32,0,7
33,0,7
34,0,7
35,0,7
36,0,36
37,0,36
38,0,36
39,0,36
40,0,115
41,0,115
42,0,36
43,0,115
44,0,115
45,0,115
46,0,19
47,0,19
48,0,51
49,0,51
50,0,51
51,0,51
52,0,106
53,0,115
54,0,115
55,0,51
56,0,-2
57,0,115
58,0,115
59,0,7
60,0,7
61,0,7
62,0,7
63,0,7
64,0,7
65,0,-2
66,0,7
67,0,7
68,0,115
69,0,115
70,0,115
71,0,-2
72,0,8
73,0,7
74,0,7
75,0,7
76,0,7
77,0,7
78,0,7
79,0,7
80,0,7
81,0,7
82,0,7
83,0,115
84,0,115
85,0,-2
86,0,19
87,0,19
88,0,19
89,0,19
90,0,-2
91,0,-2
92,0,115
93,0,7
94,0,106
95,0,106
96,0,106
97,0,106
98,0,106
99,0,7
100,0,51
101,0,51
102,0,7
103,0,30
104,0,7
105,0,106
106,0,106
107,0,-2
108,0,-2
109,0,-2
110,0,7
111,0,7
112,0,7
113,0,14
114,0,7
115,0,115
116,0,19
117,0,7
