Id,Label,COPRA
1,0,971
2,0,656
3,0,58
4,0,818
5,0,697
6,0,1159
7,0,199
8,0,-2
9,0,9
10,0,10
11,0,10
12,0,697
13,0,656
14,0,697
15,0,656
16,0,16
17,0,-2
18,0,697
19,0,9
20,0,1395
21,0,1757
22,0,697
23,0,1395
24,0,1042
25,0,649
26,0,87
27,0,421
28,0,1605
29,0,421
30,0,1395
31,0,489
32,0,394
33,0,33
34,0,34
35,0,35
36,0,287
37,0,71
38,0,224
39,0,224
40,0,815
41,0,860
42,0,871
43,0,1757
44,0,382
45,0,1119
46,0,1712
47,0,1199
48,0,224
49,0,107
50,0,107
51,0,1690
52,0,489
53,0,274
54,0,295
55,0,55
56,0,1712
57,0,106
58,0,58
59,0,553
60,0,1440
61,0,874
62,0,489
63,0,132
64,0,874
65,0,874
66,0,421
67,0,34
68,0,1760
69,0,638
70,0,70
71,0,71
72,0,71
73,0,697
74,0,832
75,0,555
76,0,34
77,0,421
78,0,71
79,0,1159
80,0,71
81,0,71
82,0,49
83,0,1537
84,0,482
85,0,842
86,0,71
87,0,87
88,0,1042
89,0,874
90,0,224
91,0,555
92,0,1757
93,0,1353
94,0,385
95,0,112
96,0,380
97,0,39
98,0,1119
99,0,482
100,0,100
101,0,107
102,0,1353
103,0,106
104,0,1353
105,0,132
106,0,106
107,0,107
108,0,380
109,0,713
110,0,385
111,0,1712
112,0,112
113,0,100
114,0,112
115,0,560
116,0,1353
117,0,874
118,0,1712
119,0,119
120,0,1391
121,0,385
122,0,1637
123,0,553
124,0,124
125,0,553
126,0,132
127,0,1391
128,0,482
129,0,586
130,0,112
131,0,874
132,0,132
133,0,1292
134,0,874
135,0,1369
136,0,107
137,0,482
138,0,274
139,0,107
140,0,874
141,0,1712
142,0,197
143,0,119
144,0,33
145,0,197
146,0,1395
147,0,382
148,0,33
149,0,149
150,0,1342
151,0,198
152,0,1369
153,0,1690
154,0,465
155,0,1141
156,0,621
157,0,476
158,0,476
159,0,-2
160,0,297
161,0,1369
162,0,425
163,0,421
164,0,71
165,0,421
166,0,34
167,0,874
168,0,421
169,0,184
170,0,586
171,0,171
172,0,871
173,0,781
174,0,871
175,0,1353
176,0,196
177,0,119
178,0,58
179,0,1042
180,0,1712
181,0,197
182,0,1637
183,0,874
184,0,184
185,0,274
186,0,713
187,0,300
188,0,106
189,0,274
190,0,-2
191,0,874
192,0,697
193,0,246
194,0,1419
195,0,107
196,0,196
197,0,197
198,0,198
199,0,199
200,0,1712
201,0,197
202,0,202
203,0,1292
204,0,1637
205,0,1312
206,0,380
207,0,196
208,0,246
209,0,380
210,0,112
211,0,1690
212,0,1637
213,0,197
214,0,106
215,0,874
216,0,1712
217,0,1353
218,0,818
219,0,1369
220,0,874
221,0,465
222,0,130
223,0,1111
224,0,224
225,0,100
226,0,818
227,0,119
228,0,1369
229,0,199
230,0,1712
231,0,184
232,0,1712
233,0,874
234,0,1312
235,0,1712
236,0,274
237,0,246
238,0,274
239,0,274
240,0,224
241,0,1712
242,0,138
243,0,760
244,0,297
245,0,246
246,0,246
247,0,860
248,0,100
249,0,555
250,0,39
251,0,1292
252,0,58
253,0,482
254,0,274
255,0,874
256,0,1369
257,0,874
258,0,874
259,0,482
260,0,1353
261,0,1369
262,0,1353
263,0,586
264,0,297
265,0,385
266,0,1712
