Id,Label,GC
1,0,1
2,0,-2
3,0,117
4,0,8
5,0,8
6,0,117
7,0,40
8,0,1
9,0,119
10,0,-2
11,0,119
12,0,40
13,0,40
14,0,40
15,0,117
16,0,124
17,0,1
18,0,61
19,0,55
20,0,55
21,0,-2
22,0,153
23,0,55
24,0,1
25,0,1
26,0,32
27,0,117
28,0,117
29,0,119
30,0,61
31,0,85
32,0,8
33,0,63
34,0,85
35,0,124
36,0,124
37,0,55
38,0,8
39,0,124
40,0,124
41,0,1
42,0,1
43,0,8
44,0,155
45,0,80
46,0,149
47,0,8
48,0,80
49,0,85
50,0,117
51,0,117
52,0,117
53,0,155
54,0,-2
55,0,61
56,0,61
57,0,117
58,0,32
59,0,1
60,0,63
61,0,80
62,0,117
63,0,55
64,0,61
65,0,11
66,0,119
67,0,61
68,0,61
69,0,55
70,0,85
71,0,117
72,0,-2
73,0,124
74,0,117
75,0,117
76,0,1
77,0,8
78,0,32
79,0,32
80,0,117
81,0,117
82,0,63
83,0,117
84,0,80
85,0,124
86,0,124
87,0,11
88,0,1
89,0,40
90,0,1
91,0,117
92,0,85
93,0,117
94,0,148
95,0,149
96,0,124
97,0,124
98,0,153
99,0,117
100,0,153
101,0,117
102,0,155
103,0,117
104,0,117
105,0,55
106,0,55
107,0,85
108,0,155
109,0,117
110,0,166
111,0,85
112,0,153
113,0,153
114,0,153
115,0,117
116,0,124
117,0,155
118,0,117
119,0,55
120,0,117
121,0,149
122,0,117
123,0,117
124,0,61
125,0,55
126,0,153
127,0,1
128,0,1
129,0,155
130,0,117
131,0,1
132,0,32
133,0,117
134,0,1
135,0,1
136,0,117
137,0,63
138,0,148
139,0,155
140,0,85
141,0,-2
142,0,32
143,0,117
144,0,1
145,0,117
146,0,117
147,0,124
148,0,32
149,0,124
150,0,32
151,0,63
152,0,32
153,0,80
154,0,117
155,0,117
156,0,61
157,0,117
158,0,117
159,0,117
160,0,40
161,0,1
162,0,117
163,0,1
164,0,117
165,0,153
166,0,40
167,0,124
168,0,117
169,0,8
170,0,153
171,0,117
172,0,124
173,0,32
174,0,1
175,0,153
176,0,153
177,0,119
178,0,119
179,0,153
180,0,1
181,0,124
182,0,124
183,0,117
184,0,32
185,0,149
186,0,117
187,0,117
188,0,124
189,0,117
190,0,8
191,0,117
192,0,149
193,0,117
194,0,117
195,0,117
196,0,149
197,0,148
198,0,148
199,0,117
200,0,80
201,0,166
202,0,11
203,0,32
204,0,32
205,0,80
206,0,40
207,0,149
208,0,1
209,0,153
210,0,153
211,0,63
212,0,117
213,0,117
214,0,85
215,0,32
216,0,8
217,0,117
218,0,166
219,0,124
220,0,153
221,0,1
222,0,124
223,0,1
224,0,1
225,0,117
226,0,8
227,0,148
228,0,117
229,0,117
230,0,293
231,0,153
232,0,117
233,0,55
234,0,63
235,0,63
236,0,117
237,0,149
238,0,1
239,0,153
240,0,-2
241,0,155
242,0,1
243,0,153
244,0,1
245,0,32
246,0,1
247,0,117
248,0,117
249,0,117
250,0,85
251,0,32
252,0,1
253,0,117
254,0,61
255,0,8
256,0,8
257,0,1
258,0,61
259,0,1
260,0,149
261,0,124
262,0,124
263,0,166
264,0,61
265,0,61
266,0,61
267,0,1
268,0,11
269,0,1
270,0,61
271,0,61
272,0,8
273,0,8
274,0,117
275,0,166
276,0,149
277,0,8
278,0,293
279,0,117
280,0,1
281,0,55
282,0,149
283,0,153
284,0,124
285,0,80
286,0,80
287,0,11
288,0,117
289,0,149
290,0,32
291,0,124
292,0,149
293,0,124
294,0,124
295,0,32
296,0,32
297,0,32
298,0,-2
299,0,1
300,0,40
301,0,-2
302,0,124
303,0,8
304,0,117
305,0,117
306,0,1
307,0,117
308,0,32
309,0,293
310,0,124
311,0,117
312,0,119
313,0,124
314,0,80
315,0,117
316,0,117
317,0,117
318,0,155
319,0,-2
320,0,117
321,0,117
322,0,8
323,0,8
324,0,63
325,0,61
326,0,117
327,0,61
328,0,1
329,0,85
330,0,1
331,0,1
332,0,124
333,0,149
334,0,32
335,0,117
336,0,119
337,0,85
338,0,117
339,0,63
340,0,80
341,0,-2
342,0,117
343,0,61
344,0,80
345,0,166
346,0,153
347,0,155
348,0,117
349,0,117
350,0,40
351,0,153
352,0,117
353,0,-2
354,0,117
355,0,124
356,0,1
357,0,8
358,0,55
359,0,55
360,0,55
361,0,55
362,0,55
363,0,55
364,0,148
365,0,117
366,0,117
367,0,1
368,0,61
369,0,117
370,0,149
371,0,55
372,0,80
373,0,61
374,0,155
375,0,124
376,0,117
377,0,117
378,0,117
379,0,117
380,0,-2
381,0,117
382,0,117
383,0,40
384,0,153
385,0,293
386,0,124
387,0,124
388,0,32
389,0,155
390,0,119
391,0,32
392,0,117
393,0,55
394,0,85
395,0,-2
396,0,166
397,0,153
398,0,149
399,0,8
400,0,8
401,0,8
402,0,117
403,0,1
404,0,-2
405,0,119
406,0,63
407,0,63
408,0,80
409,0,80
410,0,80
411,0,124
412,0,166
413,0,149
414,0,1
415,0,117
416,0,149
417,0,1
418,0,153
419,0,40
420,0,1
421,0,149
422,0,124
423,0,8
424,0,55
425,0,148
426,0,63
427,0,8
428,0,55
429,0,148
430,0,40
431,0,117
432,0,1
433,0,149
434,0,124
435,0,149
436,0,148
437,0,166
438,0,40
439,0,148
440,0,63
441,0,117
442,0,117
443,0,63
444,0,63
445,0,61
446,0,11
447,0,1
448,0,117
449,0,8
450,0,8
451,0,117
452,0,117
453,0,117
454,0,293
455,0,63
456,0,63
457,0,40
458,0,61
459,0,32
460,0,55
461,0,85
462,0,-2
463,0,85
464,0,124
465,0,117
466,0,32
467,0,61
468,0,1
469,0,124
470,0,124
471,0,149
472,0,61
473,0,155
474,0,61
475,0,11
476,0,80
477,0,117
478,0,117
479,0,117
480,0,293
481,0,1
482,0,153
483,0,155
484,0,8
485,0,117
486,0,61
487,0,61
488,0,1
489,0,119
490,0,119
491,0,85
492,0,166
493,0,117
494,0,63
495,0,55
496,0,40
497,0,40
498,0,80
499,0,55
500,0,1
501,0,148
502,0,-2
503,0,117
504,0,117
505,0,117
506,0,80
507,0,61
508,0,61
509,0,40
510,0,124
511,0,117
512,0,63
513,0,117
514,0,149
515,0,155
516,0,149
517,0,8
518,0,153
519,0,119
520,0,117
521,0,61
522,0,1
523,0,117
524,0,124
525,0,155
526,0,11
527,0,117
528,0,155
529,0,155
530,0,166
531,0,153
532,0,117
533,0,293
534,0,117
535,0,1
536,0,117
537,0,124
538,0,153
539,0,149
540,0,166
541,0,8
542,0,63
543,0,32
544,0,117
545,0,1
546,0,11
547,0,85
548,0,55
549,0,1
550,0,80
551,0,117
552,0,117
553,0,40
554,0,80
555,0,149
556,0,124
557,0,8
558,0,32
559,0,117
560,0,80
561,0,153
562,0,117
563,0,61
564,0,155
565,0,155
566,0,155
567,0,85
568,0,80
569,0,166
570,0,166
571,0,293
572,0,85
573,0,117
574,0,32
575,0,85
576,0,117
577,0,61
578,0,293
579,0,117
580,0,149
581,0,117
582,0,117
583,0,40
584,0,117
585,0,153
586,0,85
587,0,-2
588,0,148
589,0,117
590,0,117
591,0,117
592,0,155
593,0,80
594,0,80
595,0,11
596,0,8
597,0,1
598,0,153
599,0,1
600,0,8
601,0,117
602,0,119
603,0,155
604,0,155
605,0,61
606,0,55
607,0,117
608,0,117
609,0,80
610,0,80
611,0,153
612,0,8
613,0,149
614,0,61
615,0,153
616,0,153
617,0,153
618,0,124
619,0,117
620,0,117
621,0,117
622,0,80
623,0,80
624,0,124
625,0,-2
626,0,117
627,0,153
628,0,61
629,0,1
630,0,117
631,0,-2
632,0,119
633,0,148
634,0,148
635,0,32
636,0,117
637,0,293
638,0,293
639,0,55
640,0,1
641,0,117
642,0,117
643,0,117
644,0,11
645,0,119
646,0,80
647,0,124
648,0,40
649,0,-2
650,0,8
651,0,149
652,0,1
653,0,-2
654,0,124
655,0,124
656,0,55
657,0,117
658,0,55
659,0,117
660,0,148
661,0,155
662,0,117
663,0,124
664,0,155
665,0,155
666,0,293
667,0,32
668,0,40
669,0,55
670,0,1
671,0,1
672,0,117
673,0,80
674,0,117
675,0,153
676,0,153
677,0,153
678,0,40
679,0,148
680,0,117
681,0,153
682,0,148
683,0,117
684,0,63
685,0,8
686,0,1
687,0,117
688,0,124
689,0,124
690,0,85
691,0,293
692,0,1
693,0,153
694,0,1
695,0,149
696,0,1
697,0,8
698,0,1
699,0,85
700,0,8
701,0,80
702,0,11
703,0,117
704,0,117
705,0,117
706,0,117
707,0,117
708,0,119
709,0,149
710,0,8
711,0,8
712,0,119
713,0,117
714,0,1
715,0,117
716,0,61
717,0,-2
718,0,166
719,0,124
720,0,124
721,0,117
722,0,155
723,0,155
724,0,117
725,0,61
726,0,124
727,0,55
728,0,80
729,0,117
730,0,63
731,0,117
732,0,153
733,0,8
734,0,63
735,0,1
736,0,153
