Id,Label,LFM
1,0,98
2,0,70
3,0,64
4,0,34
5,0,29
6,0,88
7,0,109
8,0,91
9,0,41
10,0,116
11,0,41
12,0,72
13,0,72
14,0,72
15,0,27
16,0,50
17,0,-2
18,0,23
19,0,101
20,0,101
21,0,-2
22,0,78
23,0,-2
24,0,92
25,0,92
26,0,69
27,0,-2
28,0,-2
29,0,90
30,0,33
31,0,95
32,0,70
33,0,115
34,0,95
35,0,22
36,0,-2
37,0,106
38,0,108
39,0,42
40,0,42
41,0,91
42,0,91
43,0,79
44,0,11
45,0,51
46,0,-2
47,0,34
48,0,18
49,0,-2
50,0,18
51,0,110
52,0,12
53,0,11
54,0,18
55,0,-2
56,0,23
57,0,18
58,0,102
59,0,84
60,0,115
61,0,18
62,0,-3
63,0,-2
64,0,32
65,0,70
66,0,41
67,0,-2
68,0,-2
69,0,106
70,0,18
71,0,-2
72,0,18
73,0,-2
74,0,12
75,0,18
76,0,74
77,0,79
78,0,48
79,0,48
80,0,-2
81,0,71
82,0,-2
83,0,-2
84,0,36
85,0,-2
86,0,-2
87,0,70
88,0,67
89,0,-2
90,0,98
91,0,12
92,0,-2
93,0,-2
94,0,9
95,0,-2
96,0,52
97,0,52
98,0,78
99,0,26
100,0,-3
101,0,26
102,0,-2
103,0,14
104,0,14
105,0,-2
106,0,-2
107,0,13
108,0,11
109,0,-2
110,0,35
111,0,-2
112,0,-2
113,0,-2
114,0,-2
115,0,42
116,0,22
117,0,45
118,0,-2
119,0,114
120,0,7
121,0,49
122,0,18
123,0,42
124,0,32
125,0,-2
126,0,-2
127,0,3
128,0,3
129,0,55
130,0,19
131,0,4
132,0,116
133,0,12
134,0,74
135,0,60
136,0,-2
137,0,-2
138,0,9
139,0,45
140,0,13
141,0,-2
142,0,48
143,0,42
144,0,92
145,0,19
146,0,19
147,0,-2
148,0,48
149,0,66
150,0,102
151,0,-2
152,0,48
153,0,36
154,0,18
155,0,26
156,0,82
157,0,64
158,0,-2
159,0,19
160,0,-2
161,0,92
162,0,27
163,0,67
164,0,14
165,0,78
166,0,10
167,0,-2
168,0,27
169,0,108
170,0,37
171,0,97
172,0,24
173,0,69
174,0,65
175,0,81
176,0,81
177,0,90
178,0,90
179,0,78
180,0,74
181,0,118
182,0,39
183,0,-2
184,0,48
185,0,-2
186,0,18
187,0,-2
188,0,52
189,0,-2
190,0,99
191,0,64
192,0,54
193,0,64
194,0,-2
195,0,-2
196,0,-2
197,0,9
198,0,9
199,0,94
200,0,100
201,0,35
202,0,70
203,0,48
204,0,48
205,0,36
206,0,10
207,0,67
208,0,4
209,0,25
210,0,25
211,0,-2
212,0,80
213,0,80
214,0,18
215,0,1
216,0,79
217,0,71
218,0,-2
219,0,-2
220,0,78
221,0,84
222,0,-2
223,0,65
224,0,3
225,0,27
226,0,99
227,0,30
228,0,71
229,0,26
230,0,68
231,0,57
232,0,18
233,0,-3
234,0,75
235,0,-3
236,0,-2
237,0,87
238,0,67
239,0,111
240,0,-2
241,0,55
242,0,4
243,0,-2
244,0,67
245,0,102
246,0,4
247,0,12
248,0,14
249,0,89
250,0,95
251,0,-2
252,0,65
253,0,-2
254,0,32
255,0,34
256,0,34
257,0,-3
258,0,32
259,0,-2
260,0,87
261,0,-2
262,0,-2
263,0,35
264,0,-2
265,0,-2
266,0,-2
267,0,91
268,0,70
269,0,74
270,0,23
271,0,-2
272,0,79
273,0,99
274,0,27
275,0,107
276,0,-2
277,0,70
278,0,40
279,0,26
280,0,-2
281,0,-2
282,0,-2
283,0,-2
284,0,-3
285,0,36
286,0,51
287,0,70
288,0,89
289,0,87
290,0,1
291,0,22
292,0,-2
293,0,-2
294,0,24
295,0,48
296,0,48
297,0,48
298,0,119
299,0,67
300,0,-2
301,0,67
302,0,22
303,0,99
304,0,26
305,0,26
306,0,74
307,0,18
308,0,48
309,0,-2
310,0,-2
311,0,12
312,0,85
313,0,-3
314,0,100
315,0,58
316,0,-2
317,0,-2
318,0,-2
319,0,117
320,0,-2
321,0,94
322,0,34
323,0,99
324,0,-3
325,0,33
326,0,27
327,0,32
328,0,65
329,0,77
330,0,60
331,0,60
332,0,-2
333,0,87
334,0,-2
335,0,-2
336,0,90
337,0,-2
338,0,64
339,0,-2
340,0,47
341,0,-2
342,0,26
343,0,82
344,0,51
345,0,107
346,0,57
347,0,55
348,0,86
349,0,86
350,0,10
351,0,74
352,0,18
353,0,9
354,0,71
355,0,66
356,0,67
357,0,34
358,0,-2
359,0,-2
360,0,106
361,0,-2
362,0,-2
363,0,101
364,0,9
365,0,12
366,0,58
367,0,-2
368,0,104
369,0,12
370,0,87
371,0,106
372,0,100
373,0,33
374,0,45
375,0,50
376,0,-2
377,0,-2
378,0,-2
379,0,-2
380,0,4
381,0,18
382,0,86
383,0,10
384,0,-2
385,0,40
386,0,2
387,0,39
388,0,-2
389,0,11
390,0,41
391,0,48
392,0,26
393,0,-2
394,0,77
395,0,-2
396,0,107
397,0,-2
398,0,49
399,0,79
400,0,79
401,0,79
402,0,110
403,0,67
404,0,12
405,0,85
406,0,75
407,0,-3
408,0,47
409,0,47
410,0,47
411,0,22
412,0,107
413,0,49
414,0,91
415,0,58
416,0,87
417,0,65
418,0,78
419,0,109
420,0,84
421,0,54
422,0,-2
423,0,108
424,0,-2
425,0,9
426,0,-2
427,0,99
428,0,-3
429,0,9
430,0,10
431,0,26
432,0,91
433,0,54
434,0,2
435,0,87
436,0,9
437,0,5
438,0,109
439,0,9
440,0,-2
441,0,7
442,0,64
443,0,-2
444,0,-2
445,0,23
446,0,70
447,0,84
448,0,12
449,0,99
450,0,29
451,0,18
452,0,18
453,0,18
454,0,40
455,0,-3
456,0,-2
457,0,-2
458,0,33
459,0,-2
460,0,-2
461,0,13
462,0,67
463,0,18
464,0,2
465,0,80
466,0,-2
467,0,32
468,0,74
469,0,52
470,0,118
471,0,67
472,0,33
473,0,55
474,0,33
475,0,70
476,0,47
477,0,18
478,0,18
479,0,105
480,0,31
481,0,4
482,0,25
483,0,11
484,0,79
485,0,-2
486,0,32
487,0,32
488,0,4
489,0,41
490,0,41
491,0,-3
492,0,5
493,0,97
494,0,-2
495,0,-2
496,0,72
497,0,109
498,0,100
499,0,-3
500,0,74
501,0,9
