Id,Label,SLPA
1,0,-2
2,0,273
3,0,-2
4,0,322
5,0,5
6,0,168
7,0,438
8,0,8
9,0,490
10,0,148
11,0,490
12,0,741
13,0,496
14,0,496
15,0,168
16,0,-2
17,0,741
18,0,508
19,0,360
20,0,360
21,0,490
22,0,616
23,0,281
24,0,545
25,0,545
26,0,79
27,0,706
28,0,706
29,0,490
30,0,373
31,0,572
32,0,273
33,0,-2
34,0,572
35,0,36
36,0,36
37,0,360
38,0,-2
39,0,219
40,0,219
41,0,8
42,0,8
43,0,43
44,0,273
45,0,506
46,0,421
47,0,322
48,0,706
49,0,49
50,0,706
51,0,365
52,0,365
53,0,603
54,0,706
55,0,508
56,0,508
57,0,706
58,0,148
59,0,653
60,0,-2
61,0,706
62,0,273
63,0,727
64,0,487
65,0,273
66,0,490
67,0,-2
68,0,-2
69,0,360
70,0,706
71,0,168
72,0,706
73,0,85
74,0,365
75,0,706
76,0,-2
77,0,43
78,0,148
79,0,148
80,0,273
81,0,354
82,0,727
83,0,706
84,0,476
85,0,36
86,0,36
87,0,273
88,0,741
89,0,668
90,0,-2
91,0,365
92,0,49
93,0,168
94,0,660
95,0,421
96,0,219
97,0,219
98,0,616
99,0,392
100,0,112
101,0,392
102,0,273
103,0,532
104,0,103
105,0,281
106,0,281
107,0,49
108,0,273
109,0,365
110,0,345
111,0,49
112,0,-2
113,0,-2
114,0,-2
115,0,706
116,0,36
117,0,603
118,0,660
119,0,727
120,0,706
121,0,539
122,0,706
123,0,706
124,0,487
125,0,727
126,0,-2
127,0,481
128,0,481
129,0,319
130,0,749
131,0,481
132,0,148
133,0,168
134,0,-2
135,0,741
136,0,706
137,0,-2
138,0,660
139,0,603
140,0,49
141,0,727
142,0,148
143,0,706
144,0,545
145,0,749
146,0,749
147,0,36
148,0,148
149,0,36
150,0,148
151,0,734
152,0,148
153,0,476
154,0,706
155,0,392
156,0,605
157,0,193
158,0,36
159,0,749
160,0,668
161,0,545
162,0,168
163,0,741
164,0,103
165,0,616
166,0,668
167,0,36
168,0,168
169,0,-2
170,0,-2
171,0,706
172,0,85
173,0,79
174,0,252
175,0,-2
176,0,-2
177,0,490
178,0,490
179,0,616
180,0,-2
181,0,36
182,0,-2
183,0,706
184,0,148
185,0,-2
186,0,706
187,0,706
188,0,219
189,0,273
190,0,273
191,0,193
192,0,421
193,0,-2
194,0,-2
195,0,-2
196,0,421
197,0,660
198,0,660
199,0,273
200,0,372
201,0,-2
202,0,273
203,0,148
204,0,148
205,0,594
206,0,668
207,0,741
208,0,549
209,0,616
210,0,616
211,0,734
212,0,52
213,0,52
214,0,706
215,0,-2
216,0,43
217,0,354
218,0,717
219,0,219
220,0,616
221,0,653
222,0,36
223,0,252
224,0,481
225,0,168
226,0,273
227,0,-2
228,0,354
229,0,392
230,0,691
231,0,616
232,0,706
233,0,727
234,0,542
235,0,-2
236,0,273
237,0,741
238,0,741
239,0,-2
240,0,36
241,0,319
242,0,741
243,0,112
244,0,741
245,0,148
246,0,-2
247,0,365
248,0,532
249,0,-2
250,0,572
251,0,388
252,0,252
253,0,706
254,0,487
255,0,322
256,0,322
257,0,741
258,0,487
259,0,741
260,0,741
261,0,36
262,0,-2
263,0,345
264,0,706
265,0,706
266,0,706
267,0,8
268,0,526
269,0,-2
270,0,508
271,0,706
272,0,43
273,0,273
274,0,168
275,0,345
276,0,421
277,0,273
278,0,578
279,0,392
280,0,545
281,0,281
282,0,421
283,0,112
284,0,36
285,0,594
286,0,506
287,0,702
288,0,-2
289,0,741
290,0,-2
291,0,36
292,0,421
293,0,36
294,0,-2
295,0,148
296,0,148
297,0,148
298,0,-2
299,0,741
300,0,668
301,0,741
302,0,36
303,0,273
304,0,392
305,0,392
306,0,-2
307,0,706
308,0,148
309,0,691
310,0,36
311,0,365
312,0,490
313,0,36
314,0,372
315,0,-2
316,0,523
317,0,706
318,0,273
319,0,273
320,0,706
321,0,273
322,0,322
323,0,273
324,0,-2
325,0,373
326,0,168
327,0,487
328,0,252
329,0,49
330,0,741
331,0,741
332,0,36
333,0,741
334,0,388
335,0,273
336,0,490
337,0,49
338,0,273
339,0,-2
340,0,476
341,0,421
342,0,392
343,0,605
344,0,506
345,0,345
346,0,616
347,0,319
348,0,348
349,0,348
350,0,668
351,0,-2
352,0,706
353,0,660
354,0,354
355,0,36
356,0,741
357,0,322
358,0,360
359,0,360
360,0,360
361,0,281
362,0,727
363,0,360
364,0,660
365,0,365
366,0,-2
367,0,252
368,0,706
369,0,365
370,0,741
371,0,360
372,0,372
373,0,373
374,0,603
375,0,-2
376,0,706
377,0,523
378,0,523
379,0,523
380,0,741
381,0,706
382,0,348
383,0,668
384,0,-2
385,0,578
386,0,434
387,0,-2
388,0,388
389,0,273
390,0,490
391,0,148
392,0,392
393,0,360
394,0,49
395,0,273
396,0,345
397,0,-2
398,0,539
399,0,43
400,0,43
401,0,43
402,0,365
403,0,741
404,0,365
405,0,490
406,0,542
407,0,-2
408,0,476
409,0,476
410,0,476
411,0,36
412,0,345
413,0,539
414,0,8
415,0,-2
416,0,741
417,0,252
418,0,616
419,0,438
420,0,653
421,0,421
422,0,-2
423,0,-2
424,0,727
425,0,660
426,0,-2
427,0,273
428,0,360
429,0,660
430,0,668
431,0,392
432,0,8
433,0,421
434,0,434
435,0,741
436,0,660
437,0,-2
438,0,438
439,0,660
440,0,-2
441,0,706
442,0,273
443,0,426
444,0,426
445,0,508
446,0,273
447,0,653
448,0,168
449,0,273
450,0,5
451,0,706
452,0,706
453,0,706
454,0,578
455,0,-2
456,0,734
457,0,668
458,0,373
459,0,148
460,0,727
461,0,49
462,0,741
463,0,706
464,0,434
465,0,52
466,0,148
467,0,487
468,0,-2
469,0,219
470,0,36
471,0,741
472,0,373
473,0,319
474,0,373
475,0,526
476,0,476
477,0,706
478,0,706
479,0,706
480,0,578
481,0,481
482,0,616
483,0,273
484,0,43
485,0,354
486,0,487
487,0,487
488,0,549
489,0,490
490,0,490
491,0,706
492,0,-2
493,0,706
494,0,-2
495,0,727
496,0,496
497,0,438
498,0,372
499,0,727
500,0,-2
501,0,660
502,0,273
503,0,706
504,0,273
505,0,168
506,0,506
507,0,-2
508,0,508
509,0,741
510,0,36
511,0,706
512,0,-2
513,0,706
514,0,539
515,0,319
516,0,539
517,0,273
518,0,616
519,0,490
520,0,706
521,0,-2
522,0,-2
523,0,523
524,0,85
525,0,273
526,0,526
527,0,749
528,0,603
529,0,603
530,0,345
531,0,-2
532,0,532
533,0,578
534,0,168
535,0,-2
536,0,193
537,0,434
538,0,-2
539,0,539
540,0,717
541,0,5
542,0,542
543,0,148
544,0,168
545,0,545
546,0,273
547,0,706
548,0,727
549,0,549
550,0,594
551,0,706
552,0,52
553,0,668
554,0,372
555,0,421
556,0,-2
557,0,5
558,0,148
559,0,365
560,0,372
561,0,616
562,0,354
563,0,605
564,0,273
565,0,319
566,0,603
567,0,49
568,0,506
569,0,-2
570,0,-2
571,0,578
572,0,572
573,0,365
574,0,79
575,0,49
576,0,706
577,0,706
578,0,578
579,0,-2
580,0,421
581,0,-2
582,0,168
583,0,438
584,0,365
585,0,-2
586,0,49
587,0,148
588,0,-2
589,0,-2
590,0,-2
591,0,273
592,0,603
593,0,476
594,0,476
595,0,273
596,0,273
597,0,653
598,0,-2
599,0,-2
600,0,273
601,0,706
602,0,490
603,0,603
604,0,603
605,0,605
606,0,281
607,0,392
608,0,392
609,0,372
610,0,706
611,0,616
612,0,43
613,0,421
614,0,706
615,0,616
616,0,616
617,0,616
618,0,219
619,0,52
620,0,-2
621,0,-2
622,0,476
623,0,476
624,0,-2
625,0,-2
626,0,706
627,0,-2
628,0,706
629,0,-2
630,0,706
631,0,578
632,0,490
633,0,660
634,0,660
635,0,148
636,0,52
637,0,578
638,0,578
639,0,360
640,0,-2
641,0,642
642,0,642
643,0,532
644,0,702
645,0,490
646,0,476
647,0,85
648,0,741
649,0,706
650,0,273
651,0,741
652,0,-2
653,0,653
654,0,434
655,0,653
656,0,281
657,0,642
658,0,727
659,0,168
660,0,660
661,0,273
662,0,273
663,0,-2
664,0,273
665,0,273
666,0,691
667,0,-2
668,0,668
669,0,727
670,0,252
671,0,252
672,0,52
673,0,372
674,0,706
675,0,616
676,0,616
677,0,616
678,0,741
679,0,660
680,0,749
681,0,-2
682,0,-2
683,0,354
684,0,542
685,0,273
686,0,-2
687,0,-2
688,0,36
689,0,219
690,0,572
691,0,691
692,0,545
693,0,616
694,0,741
695,0,741
696,0,-2
697,0,5
698,0,741
699,0,49
700,0,43
701,0,506
702,0,702
703,0,706
704,0,706
705,0,706
706,0,706
707,0,706
708,0,490
709,0,421
710,0,322
711,0,273
712,0,490
713,0,348
714,0,481
715,0,392
716,0,706
717,0,-2
718,0,-2
719,0,-2
720,0,-2
721,0,706
722,0,273
723,0,273
724,0,168
725,0,508
726,0,36
727,0,727
728,0,476
729,0,273
730,0,542
731,0,168
732,0,616
733,0,-2
734,0,734
735,0,481
736,0,112
737,0,112
738,0,706
739,0,741
740,0,532
741,0,-2
742,0,660
743,0,252
744,0,706
745,0,-2
746,0,5
747,0,-2
748,0,653
749,0,749
750,0,49
751,0,668
752,0,-2
753,0,-2
754,0,-2
