Id,Label,SLPA
1,0,4
2,0,4
3,0,4
4,0,4
5,0,4
6,0,-2
7,0,8
8,0,8
9,0,-2
10,0,8
11,0,-2
12,0,-2
13,0,-2
14,0,-2
15,0,-2
16,0,4
17,0,4
18,0,4
19,0,4
20,0,8
21,0,8
22,0,-2
23,0,-2
24,0,-2
25,0,-2
26,0,8
27,0,7
28,0,7
29,0,7
30,0,7
31,0,7
32,0,8
33,0,8
34,0,8
35,0,8
36,0,8
37,0,8
38,0,8
39,0,8
40,0,8
41,0,8
42,0,8
43,0,8
44,0,8
45,0,8
46,0,4
47,0,4
48,0,55
49,0,55
50,0,55
51,0,55
52,0,96
53,0,8
54,0,8
55,0,55
56,0,8
57,0,-2
58,0,-2
59,0,7
60,0,7
61,0,7
62,0,7
63,0,8
64,0,8
65,0,8
66,0,8
67,0,8
68,0,-2
69,0,-2
70,0,-2
71,0,8
72,0,8
73,0,8
74,0,8
75,0,8
76,0,77
77,0,8
78,0,77
79,0,77
80,0,77
81,0,8
82,0,8
83,0,-2
84,0,-2
85,0,8
86,0,86
87,0,86
88,0,86
89,0,86
90,0,-2
91,0,-2
92,0,-2
93,0,8
94,0,96
95,0,96
96,0,96
97,0,96
98,0,96
99,0,8
100,0,55
101,0,55
102,0,7
103,0,8
104,0,8
105,0,96
106,0,96
107,0,8
108,0,8
109,0,8
110,0,8
111,0,8
112,0,8
113,0,-2
114,0,77
115,0,-2
116,0,4
117,0,77
